Chinese term,English term,Synonyms,Chinese synonyms
煎膏,Condensed decoction,Oral thick paste,膏滋；膏方
流浸膏,Fluid extract,,
浸膏,Solid extract paste,,
软膏,Ointment,Medicated ointment,药膏
硬膏,Plaster,Medicated plaster; Thin plaster,膏药；薄贴
颗粒剂,Granules,,冲剂
酒剂,Medicated wine/liquor,,
茶剂,Medicated tea,,
锭剂,Pastille/troche,,
条剂,Medicated roll,,
线剂,Medicated thread,,
灸剂,Moxa products,,
栓剂,Suppository/pessary,,
平旦服,Take before breakfast,,
热服,Take hot,,
温服,Take warm,,
冷服,Take cold,,
噙化,Sublingual/buccal administration,,含化
顿服,Take in one single dose,,
分服,Take in multiple times,,
频服,Take frequently in small doses,,
解表剂,Formulas that release the exterior,,
辛温解表剂,Formulas that release the exterior with pungent warm medicines,,
分经论治,Formulas based on meridian differentiation,,
辛凉解表剂,Formulas that release the exterior with pungent cool medicines,,
扶正解表剂,Formulas that reinforce healthy qi and release the exterior,,
泻下剂,Formulas that drain downward,Purgative formulas,
寒下剂,Cold purgative formulas,,
釜底抽薪,Formulas that remove firewood from under the cauldron,,
温下剂,Warm purgative formulas,,
润下剂,Moistening purgative formulas,,
逐水剂,Formulas that expel water,,
攻补兼施剂,Formulas that purge and tonify,,
增水行舟,Formulas that generate fluids to promote bowel movements,,
和解剂,Formulas that harmonize and release,,
和解少阳剂,Formulas that harmonize and release Shaoyang,,
调和肝脾剂,Formulas that regulate and harmonize the liver and spleen,,
调和肠胃剂,Formulas that regulate and harmonize the stomach and intestines,,
清热剂,Formulas that clear heat,,
清气分热剂,Formulas that clear heat in the qi phase,,
甘寒清热,"Formulas that clear heat with sweet, cold medicines",,
清营凉血剂,Formulas that clear heat in the Ying nutrients and blood,,
透热转气,Formulas that clear heat in the Ying nutrients phase,,
火郁发之,Formulas that effuse stagnant fire/heat,,
以泻代清,Formulas that purge the interior heat,,
清热解毒剂,Formulas that clear heat and remove toxins,,
苦寒直折,Formulas that clear exuberant heat with bitter and cold medicines,,
气血两清剂,Formulas that clear heat in the qi and blood,,
清脏腑热剂,Formulas that clear heat in the zang-fu organs,,
清虚热剂,Formulas that clear deficiency heat,,
先入后出,Formulas that enter first and exit next,,
祛暑剂,Formulas that eliminate summer heat,,
祛暑清热剂,Formulas that clear summer heat,,
祛暑解表剂,Formulas that clear summer heat and release the exterior,,
祛暑利🗎剂,Formulas that clear summer heat and resolve dampness,,
清暑益气剂,Formulas that clear summer heat and supplement qi,,
温里剂,Formulas that warm the interior,,
温中祛寒剂,Formulas that warm the middle jiao and remove cold,,
回阳救逆剂,Formulas that resuscitate yang and prevent collapse,,
温经散寒剂,Formulas that warm meridians and dispel cold,,
表里双解剂,Formulas that release the exterior and interior,,
解表攻里剂,Formulas that release the exterior and purge the interior,,
解表清里剂,Formulas that release the exterior and clear the interior,,
解表温里剂,Formulas that release the exterior and warm the interior,,
补益剂,Formulas that tonify or reinforce,,
补气剂,Formulas that tonify qi,,
甘温除热,"Formulas that reduce fever with sweet, warm medicines",,
补血剂,Formulas that tonify blood,,
气血双补剂,Formulas that tonify qi and blood,,
补阴剂,Formulas that tonify yin,,
阳中求阴,Formulas that seek yin within yang,,
补阳剂,Formulas that tonify yang,,
阴中求阳,Formulas that seek yang within yin,,
阴阳并补,Formulas that tonify both yin and yang,,
安神剂,Formulas that calm the mind,,
重镇安神剂,Formulas that calm and settle the mind with heavy medicines,,
滋养安神剂,Formulas that calm and nourish the mind,,
开窍剂,Formulas that open the orifices,,
凉开剂,Formulas that open the orifices with cold- property ingredients,,
温开剂,Formulas that open the orifices with warm- property ingredients,,
固涩剂,Formulas that secure and astringe,,
固表止汗剂,Formulas that secure the exterior and stop sweating,,
敛肺止咳剂,Formulas that astringe the lung and stop coughing,,
涩肠固脱剂,Formulas that astringe the intestine and secure collapse,,
涩精止遗剂,Formulas that astringe the semen and stop enuresis,,
固崩止带剂,Formulas that stop bleeding/leucorrhoea,,
理气剂,Formulas that regulate qi,,
行气剂,Formulas that circulate qi,,
降气剂,Formulas that make qi descend,,
理血剂,Formulas that regulate blood,,
活血祛瘀剂,Formulas that circulate blood and eliminate stasis,,
刚柔相济,Formulas that combine dry/pungent and sweet/moist medicines,,
止血剂,Formulas that stop bleeding,,
治风剂,Formulas that treat wind,,
疏散外风剂,Formulas that remove external wind,,
平熄内风剂,Formulas that extinguish internal wind,,
治燥剂,Formulas that treat dryness,,
轻宣润燥剂,Formulas that moisten dryness with light diffusing medicines,,
滋阴润燥剂,Formulas that nourish yin and moisten dryness,,
祛🗎剂,Formulas that eliminate dampness,,
燥🗎和胃剂,Formulas that dry dampness and harmonize the stomach,,
清热祛🗎剂,Formulas that clear heat and eliminate dampness,,
利水渗🗎剂,Formulas that promote urination and drain dampness,,
温化水🗎剂,Formulas that warm and transform water-dampness,,
祛风胜🗎剂,Formulas that remove wind and transform dampness,,
祛痰剂,Formulas that eliminate phlegm,,
燥🗎化痰剂,Formulas that dry dampness and transform phlegm,,
清热化痰剂,Formulas that clear heat and transform phlegm,,
润燥化痰剂,Formulas that moisten dryness and transform phlegm,,
温化寒痰剂,Formulas that warm and transform cold phlegm,,
治风化痰剂,Formulas that treat wind and transform phlegm,,
消导化积剂,Formulas that promote digestion and transform masses,,
消食导滞剂,Formulas that promote digestion and unblock stagnation,,
消痞化积剂,Formulas that disperse and transform masses,,
驱虫剂,Formulas that kill parasites/worms,,
涌吐剂,Formulas that induce emesis,Emetic formulas,
治疡剂,Formulas that treat sores/ulcers and abscesses,,
中成药,Chinese patent medicine,,
经络腧穴类,Meridians and acupuncture points,,
经络,Meridians and collaterals,,
十二经脉,Twelve meridians,Twelve regular meridians,十二正经
手太阴肺经,The lung meridian of hand-Taiyin,,
手阳明大肠经,The large intestine meridian of hand-Yangming,,
足阳明胃经,The stomach meridian of foot-Yangming,,
足太阴脾经,The spleen meridian of foot-Taiyin,,
手少阴心经,The heart meridian of hand-Shaoyin,,
手太阳小肠经,"The small intestine meridian of
hand-Taiyang",,
足太阳膀胱经,The bladder meridian of foot-Taiyang,,
足少阴肾经,The kidney meridian of foot-Shaoyin,,
手厥阴心包经,The pericardium meridian of hand-Jueyin,,
手少阳三焦经,The Sanjiao meridian of hand-Shaoyang,Triple-burner meridian; Triple warmer meridian; Triple energizer meridian of hand-Shaoyang,
足少阳胆经,The gallbladder meridian of foot-Shaoyang,,
足厥阴肝经,The liver meridian of foot-Jueyin,,
手三阴经,Three hand-yin meridians,,
手三阳经,Three hand-yang meridians,,
足三阴经,Three foot-yin meridians,,
足三阳经,Three foot-yang meridians,,
奇经八脉,Eight extraordinary meridians,,
督脉,The Du meridian,Governor Vessel,
任脉,The Ren meridian,Conception Vessel,
冲脉,The Chong meridian,Thoroughfare Vessel,
带脉,The Dai meridian,Belt Vessel,
阴蹻脉,The Yinqiao meridian,,
阳蹻脉,The Yangqiao meridian,,
阴维脉,The Yinwei meridian,,
阳维脉,The Yangwei meridian,,
络脉,Collaterals,,
十五络脉,The fifteen collaterals,,
十六络脉,The sixteen collaterals,,
脾之大络,The great collateral of the spleen,,
胃之大络,The great collateral of the stomach,,
血络,Blood collaterals,,
浮络,Floating collaterals,,
孙络,Minute collaterals,,
十二经别,The twelve divergent meridians,,经别
十二经筋,The twelve muscle regions,Twelve sinews/ fasica,经筋
十二皮部,The twelve cutaneous regions,,皮部
根结,Gen-root and jie-knot,,
标本,Biao-tip and ben-trunk,,
气街,Qi streets,,
四海,Four seas,,
髓海,The sea of marrow,,
气海,The sea of qi,,
水谷之海,The sea of water and food,,
血海,The sea of blood,,
阳脉之海,The sea of yang meridians,,
阴脉之海,The sea of yin meridians,,
一源三歧,The three branches from one source,The three divergences from a single source,
循经感传,Transmission of sensation along meridians,,
经络现象,The meridian phenomena,,
肺系,The lung connections,,
目系,The eye connections,,
心系,The heart connections,,
赤白肉际,The junction between the red and white skin,Junction of the change in skin colour,
关阖枢,"Bolt, plank and hinge",,
腧穴,Acupuncture points,,
经穴,Meridian points,,
经外奇穴,Extra points,,奇穴
阿是穴,Ashi Points,,天应穴
特定穴,The specific points,,
五输穴,Five-Shu points,,
井穴,Jing-well points,,
荥穴,Ying-spring points,,
输穴,Shu-stream points,,
经穴,Jing-river points,,
合穴,He-sea points,,
原穴,Yuan-primordial points,Yuan-source points,
络穴,Luo-connecting points,,
郄穴,Xi-cleft points,,
背俞穴,Back-Shu points,,
募穴,Front-Mu points,,
八会穴,Eight influential points,,
八脉交会穴,Eight confluent points,,
下合穴,Lower He-sea points,,
交会穴,Crossing points,,
针灸配穴,Point combination,,
近部取穴,Selection of local points,,
远部取穴,Selection of distal points,,
随证取穴,Pattern-oriented point selection,,
本经配穴法,Point combination of the affected meridian,,
表里（经）配穴法,Point combination of the coupled meridians,,
同名经配穴法,Point combination of the same-name meridians,,
上下配穴法,Upper and lower point combination,,
前后配穴法,Back and front point combination,,
左右配穴法,Left and right point combination,,
原络配穴法,Yuan and Luo point combination,,
主客原络配穴法,Host–guest combination using Yuan-source and Luo- connecting points,,
俞募配穴法,Shu and Mu point combination,,
腧穴定位法,Methods of locating acupuncture points,,
骨度分寸法,Proportional bone measurement,,
手指同身寸,Finger-cun measurement,,
拇指同身寸,Thumb measurement,,
中指同身寸,Middle finger measurement,,
横指同身寸,Four-finger measurement,Four-finger breadth measurement,一夫法
针刺类,Acupuncture,,
针尖,The tip of a needle,The needle tip,
针柄,The handle of a needle,,
针体（针身）,The body of a needle,The shaft of a needle,
针根,The root of a needle,,
不锈钢针,Stainless steel needles,,
银质针,Silver needles,,
金质针,Gold needles,,
针刺方法,Needling methods,Acupuncture techniques,
毫针刺法,Filiform needling methods,,
刺手,The needling hand,,
押手,The pressing hand,The non-dominant hand,
双手进针法,Needle insertion with both hands,Two-hand insertion,
指切进针法,Nail-pressing insertion,,
夹持进针法,Needle-holding insertion with both hands,,
舒张进针法,Skin-stretching insertion,,
提捏进针法,Skin-pinching insertion,,
单手进针法,Needle insertion with one hand,,
管针进针法,Guide tube-needle insertion,,
散刺法,Scatter-pricking method,,
挑刺法（挑治法）,Pricking with a three- edged needle,,
点刺法,Point-pricking method,,
刺络法,Collateral-pricking method,,
针刺角度,Angle of insertion,,
直刺,Perpendicular needle insertion,,
斜刺,Oblique needle insertion,,
平刺,Subcutaneous needle insertion,,横刺，沿皮刺
透刺,Point-toward-point needle insertion,,
行针,Needling manipulation,,运针
提插法,Lifting-thrusting method,,
捻转法,Twirling or rotating method,Turning or rotating method,
循法,Probing for qi,Meridian-following method,
弹（柄）法,Handle-plucking method,Handle-flicking method,
刮（柄）法,Handle-scraping method,,
摇（柄）法,Handle-shaking method,,
飞法,Flying method,,
震颤法,Vibrating method,,
得气,Arrival of qi,Deqi,
针感,Needling sensation,,
候气,Waiting for qi,,
催气,Moving qi,,
气至病所,Qi reaches the affected area,,
针刺补泻,Reinforcing and reducing manipulation,Tonifying and sedating manipulation,
捻转补泻,Reinforcing and reducing by twirling or rotating,Tonifying and sedating by twirling or rotating,
提插补泻,Reinforcing and reducing by lifting and thrusting,Tonifying and sedating by lifting and thrusting,
徐疾补泻,Reinforcing and reducing by slowness and rapidness,Tonifying and sedating by slowness and rapidness,
迎随补泻,Directional reinforcing and reducing,Directional tonifying and sedating,
呼吸补泻,Reinforcing and reducing by breathing,Tonifying and sedating by breathing,
开阖补泻,Reinforcing and reducing by opening and closing,Tonifying and sedating by opening and closing,
平补平泻,Balanced reinforcing and reducing,Even tonifying and sedating,
烧山火,Setting the Mountain on Fire,,
透天凉,Penetrating Heaven coolness,,
子母补泻法,Reinforcing the mother or reducing the son,,
子午流注,Midnight-noon ebb-flow,Zi Wu Liu Zhu Chronoacupuncture,
留针（置针）,Needle retaining,,
出针,Needle withdrawal,,
针刺异常情况,Acupuncture-related adverse events,,
晕针,Needle shock,Fainting during an acupuncture session.,
滞针,Stuck needle,,
弯针,Bent needle,,
断针,Broken needle,,
针刺血肿,Acupuncture-induced haematoma,,
针刺性气胸,Acupuncture-induced pneumothorax,,
微针疗法,Micro-system therapy,,
头针疗法,Scalp acupuncture,,
耳针疗法,Ear acupuncture,Auriculotherapy,
耳穴,Ear points,,
面针疗法,Facial acupuncture,,
眼针疗法,Eye acupuncture,,
鼻针疗法,Nose acupuncture,,
舌针疗法,Tongue acupuncture,,
脊背针疗法,Back acupuncture,,
手针疗法,Hand acupuncture,,
足针疗法,Foot acupuncture,,
腕踝针疗法,Wrist-ankle acupuncture,,
腹针疗法,Abdominal acupuncture,,
第二掌骨侧针法,The second metacarpal bone acupuncture,,
三棱针,The three-edged needle,,
皮肤针,The dermal needle,,
梅花针,The plum-blossom needle,,
七星针,The seven-star needle,The seven-star hammer,
皮内针,The intradermal needle,,
揿针,Thumbtack needle,Presstack needle,
埋针疗法,Needle-embedding therapy,Intradermal needle therapy,皮内针疗法
电针,Electroacupuncture,,
穴位注射,Point injection,Hydro-acupuncture,水针
火针,Fire needling,Cauterized needle,燔针
芒针,Elongated needle,Thread needling,
激光针,Laser therapy,,
蜂针疗法,Bee-sting therapy,Bee venom acupuncture,
伪针；假针,Sham acupuncture,Placebo acupuncture,
割治,Incision therapy,,
穴位埋线,Catgut-embedding therapy,,
砭石,Bian-stone needling,,
九针,Nine ancient needles,,
镵针,Shear needle,Chan zhen,
圆针,Rounded needle,Yuan zhen,
鍉针,Spoon-like needle,Ti zhen,
锋针,Sharp-edged needle (lancing needle),Fen zhen,
员利针,Round-sharp needle,Yuan Li zhen,
铍针,Sword-like needle,Pi zhen,
长针,Long needle,Chang zhen,
大针,Large needle,Da zhen,
毫针,Filiform needle,Hao zhen,
五刺,The five needling techniques,,
半刺,Half needling,Shallow needling,
豹文刺,Leopard-spot needling,,
关刺,Joint needling,,
合谷刺,Hegu needling,Multi-direction needling,
输刺（五刺）,Shu needling (one of the five needling techniques),,
九刺,The nine needling techniques,,
输刺（九刺）,Shu needling (one of the nine needling techniques),,
远道刺,Distal needling,,
经刺,Meridian needling,Channel needling,
络刺,Collateral needling,,
分刺,Intramuscular needling,,
大泻刺,Great drainage needling,,
毛刺,Skin needling,,
巨刺,Contralateral needling,,
缪刺,Contralateral blood-letting,,
焠刺,Cauterized needling,,
十二刺,The twelve needling techniques,,
偶刺,Coupled needling,,
报刺,Successive trigger needling,,
恢刺,Relaxing needling,Cramp-relieving,
齐刺,Triple needling,,
扬刺,Quintuple needling,,
直针刺,Straight needling,,
输刺（十二刺）,Shu needling (one of the twelve needling techniques),,
短刺,Short needling,,
浮刺,Superficial needling,,
阴刺,Yin needling,,
傍针刺,Accompanied needling,,
赞刺,Repeated shallow needling,,
灸法类,Moxibustion therapy,,
灸法,Moxibustion,,
艾绒,Moxa wool,Moxa punk,
艾炷,Moxa cone,,
壮,Zhuang,,
艾条,Moxa stick,Moxa roll,
药艾条,Medicinal moxa stick,,
艾炷灸,Moxa cone moxibustion,,
直接灸,Direct moxibustion,,
瘢痕灸,Scarring moxibustion,,
化脓灸,Suppurative moxibustion,,
无瘢痕灸,Non-scarring moxibustion,,
麦粒灸,Wheat-grain sized cone moxibustion,Rice grain moxibustion,
间接灸,Indirect moxibustion,Insulated moxibustion,间隔灸，隔物灸
隔姜灸,Ginger-insulated moxibustion,Ginger moxibustion,
隔蒜灸,Garlic-insulated moxibustion,Garlic moxibustion,
隔盐灸,Salt-insulated moxibustion,Salt moxibustion,
隔附子饼灸,Monkshood cake- insulated moxibustion,Monkshood moxibustion,
艾条灸,Moxa stick moxibustion,,
悬灸,Suspended moxibustion,,悬起灸
温和灸,Gentle moxibustion,,
雀啄灸,Sparrow-pecking moxibustion,,
回旋灸,Circling moxibustion,,
实按灸,Mild-warm moxibustion,,
太乙神针,Taiyi moxa stick,,
雷火神针,Thunder-fire moxa stick,,
温针灸,Warming needle,Needle-warming moxibustion,
温灸器灸,Moxibustion with a moxa burner,,
灯火灸,Juncus moxibustion,,
天灸,Blistering moxibustion,Scarring moxibustion,药物发泡法
穴位敷贴,Acupoint application,,
拔罐类,Cupping therapy,,
拔罐法,Cupping,,
火罐法,Fire cupping,Fire suction,火吸法
闪火法,Fire twinkling,,
投火法,Fire throwing,,
贴棉法,Cotton sticking,,
水罐法,Boiling cup method,Water suction,水吸法
留罐法,Cup retention,,
走罐法,Sliding cupping,Moving cupping,
闪罐法,Flash cupping,,
刺络拔罐,Blood-letting and cupping,Wet cupping,
留针拔罐,Needle-retention cupping,,针罐
药罐,Medicated cupping,,
刮痧疗法,Guasha therapy,,
刮痧板,Guasha tool,,
推拿,Tuina,"Anmo, Anqiao, Qiaomo, Anwu, etc.",按摩；按跷；乔摩；案扤
推拿手法,Tuina manipulation,,
㨰法,Rolling manipulation,,
滚法,Rolling manipulation with the proximal interphalangeal joints,,
一指禅推法,Yi Zhi Chan pushing,One finger pushing,
一指禅偏锋推法,Yi Zhi Chan pushing with the radial side of the thumb,,
缠法,Fast Yi Zhi Chan pushing manipulation,,
跪推法,Yi Zhi Chan pushing with the flexed thumb,,
鱼际揉法,Thenar-kneading manipulation,,
揉法,Kneading manipulation,,
摩法,Circular rubbing manipulation,,
推法,Pushing manipulation,,
刨推法,Plane pushing manipulation,,
刮法,Scraping manipulation,,
擦法,Linear rubbing manipulation,,
抹法,Wiping manipulation,,
按法,Pressing manipulation,,
点法,Point-pressing manipulation,,
压法,Forceful pressing manipulation,,
抵法,Symmetrical pressing manipulation,,
碟转法,Rotating pressing manipulation,,
拳顶法,Fist-pressing manipulation,,
扪法,Stroking manipulation,,
押法,Thumb pressing manipulation,,
捏法,Pinching manipulation,,
挪法,Slow-shifting manipulation,,
拧法,Twisting manipulation,Pulling manipulation,
勾法,Hooking manipulation,,
拿法,Grasping manipulation,,
抓法,Gripping manipulation,,
握法,Clutching manipulation,,
搓法,Palm-twisting manipulation,,
理法,Regulating manipulation,,
捻法,Finger-twisting manipulation,,
拨法,Plucking manipulation,,
拍法,Patting manipulation,,
击法,Knocking manipulation,,
啄法,Pecking manipulation,,
叩法,Tapping manipulation,,
劈法,Chopping manipulation,,
贯法,Percussing manipulation,,
弹法,Flipping manipulation,,
抖法,Shaking manipulation,,
振法,Vibrating manipulation,,
摇法,Rotating manipulation,,
拔伸法,Pulling-stretching manipulation,Traction manipulation,牵引法
勒法,Tightening manipulation,,
屈伸法,Flexion and extension,,
扳法,Pulling manipulation,,
背法,Back-carrying manipulation,,
梳法,Combing manipulation,,
拂法,Brushing manipulation,,
捋法,Smoothing manipulation,,
掩法,Covering manipulation,,
捩法,Rotating manipulation,,
端法,Holding manipulation,,
摸法,Touching manipulation,,
提法,Lifting manipulation,,
拢法,Gathering manipulation,,
挤法,Squeezing manipulation,,挟按法
挽法,Drawing manipulation,,
推拿复合手法类,Compound Tuina manipulations,,
按揉法,Pressing-kneading manipulation,,
拿揉法,Grasping-kneading manipulation,,
推摩法,Pushing-rubbing manipulation,,
牵抖法,Pulling-shaking manipulation,,
揉捏法,Kneading-pinching manipulation,,
提弹法,Lifting-flicking manipulation,,
弹筋法,Tendon-flicking manipulation,,
推揉法,Pushing-kneading manipulation,,
推扳法,Plucking-pulling manipulation,,
勾点法,Hooking-pointing manipulation,,
扫散法,Sweeping manipulation,,
踩跷法,Stepping manipulation,,
捏脊法,Spine-pinching manipulation,,
点脊法,Spine-pointing manipulation,,
插法,Inserting manipulation,,
托法,Supporting manipulation,,
抄法,Swinging manipulation,,
封腰法,Low back-closing manipulation,,
颤腰法,Low back-vibrating manipulation,,
脊柱推拿手法类,Spinal tuina manipulation,,
推拿介质,Tuina medium,,
推拿辅助器具类,Assistant tuina tools,,
桑枝棒,Mulberry branch stick,,
太平车,Tai Ping Che,,
小儿推拿,Paediatric tuina,,
少林内功,Shaolin Neigong,Shaolin Internal Exercise,
易筋经,Yi Jin Jing,Sinew- transforming exercise,
其他推拿术语,Other tuina terminologies,,
热敷,Hot compress,,
膏摩,Tuina combined with herbal ointment,,
推拿镇痛,Tuina analgesia,,
健身推拿,Healthcare Tuina,Healthcare massage,
美容推拿,Cosmetic tuina,,
导引,Daoyin (guiding and stretching),,
气功,Qigong,,
大周天,Large heavenly circle,,
三关,Three passes,Three barriers,
和合四象,"Harmony of the eyes, ears, nose and tongue",,
恬淡虚无,Inner peace and calmness,Tian Dan Xu Wu,
丹田呼吸,Dantian breathing,,
太极拳,Taijiquan,,
太极拳流派,Taijiquan styles,,
太极拳拳理,Taijiquan principles,,
拳决,Taijiquan mnemonics,,
拳谱,Taijiquan manual,,
拳经,Taijiquan classics,,
拳势,Taijiquan structure,,
内家拳,Internal martial arts,,
盘架子,Form,,
八面,Eight directions,,
八体,Eight body parts,,
八不传,Eight types of people should be declined to learn Taiji,,
四忌,Four mistakes,,
八要,Eight requirements,,
无极,Wuji (without ridgepole),,
两仪,Two complementary forces,,
三才,Three elements,,
四象,Four symbols,,
体用,Taiji functions,,
六合,Six harmonies,,
太极图,Taiji diagram,,
虚领顶劲,Hold the head as if suspended from above,"Head upright, spirit rising",提顶；顶头悬；贯顶；悬顶
沉肩坠肘,"Relax the shoulders, sink the elbows",,
护肫,Stomach-protecting technique,,
展指坐腕,Sunken (sitting) wrist with finger extension,,
两膊相系,Coordination between the two arms,,
竖腕,Vertical Fist,,
坐腕,Sunken wrist,,
鼓腕,Pumping wrist,,
直腕,Straight wrist,,
叠腕,Overlapped wrist,,
含胸拔背,"Sink the chest, raise the back",,
扩背,Expand the back,,
松腰敛臀,Keep the waist relaxed and buttocks tucked under,,
弓腰收臀,Keep the waist sunken and buttocks tucked under,,
尾闾中正,Keep the coccyx upright,,
尾闾收,Lifting the anus,Suspending the crotch,提肛；吊裆；调裆
上下一线,Keep the upper and lower connected,,
立身中正,Keep the body upright,,
身肢放长,Lengthen the torso and limbs,,
一身备五弓,Five bows in the body,,
泛臀,Float the buttocks,,
溜臀,Drop the buttocks,,
敛臀,Tuck in the buttocks,,
圆裆,Round crotch,,
缩胯,Relax and tuck in the hips,,
裹裆,Wrap the crotch,,
荡裆,Slack crotch,,
尖裆,Sharp-angled crotch,,
敞裆,Open crotch,,
坐腿,Sitting legs,,
开合,Opening and closing,,
蓄发,Store and release,,
动静,Seek stillness in movement,,
快慢,Fast and slow,,
虚实分清,Distinguish between fullness (weighted) and emptiness (weightless),,虚实分明
开合虚实,"Opening, closing, empty and full",,
内外相合,Internal-external unity,,
上下相随,Upper-lower coordination,,
节节贯串,Movement of all joints,,
轻灵,Gentle and flexible movements,Mindful-qi movement,
一动无有不动,Unity of upper and lower,,
刚柔,Hard and soft,,
方圆,Square and round,,
方圆相生,Mutual generation of square and round,,
十三势,The thirteen postures,,
太极劲,Taiji jin,,
中土常守,Keep the central equilibrium,,
四两拨千斤,Defeat the strong with minimal effort,,
劲与力,Energy (Jin) and force (Li),,
气沉丹田,Sink qi down to Dantian,,
开呼合吸,Opening with breathing out and closing with breathing in,,
开吸合呼,Opening with breathing in and closing with breathing out,,
意气运动,Intent-qi movement,,
神气鼓荡,Shen-qi movement,,
太极九如,Nine essentials of Taiji,,
松紧,Relaxation and tension,,
齐四梢,Issue forces from the four extremities,,
功法,Gongfa,,
太极剑,Taiji sword,,
太极扇,Taiji fan,,
太极枪,Taiji spear,,
太极棍,Taiji cane,,
太极推手,Taiji pushing hands,,
掤劲,(Peng) ward off,,
捋劲,(Lü) roll back,,
挤劲,(Ji) press forward,,
按劲,(An) push down,,
采劲,(Cai) pluck,,
挒劲,(Lie) splitting power,,
肘劲,(Zhou) elbow striking power,,
靠劲,(Kao) shoulder striking power,,
双浮,Floating hands,,
双重,Resisting hands,,
双轻,Flexible hands,,
单重,Single weighted stance,,
掤法,(Bing) warding off method,,
捋法,(Lü) rolling back method,,
挤法,(Ji) pressing method,,
采法,(Cai) plucking method,,
挒法,(Lie) splitting method,,
肘法,(Zhou) elbow striking method,,
靠法,(Kao) shoulder striking method,,
粘走,Adhere and follow,,
太极刀,Taiji broadsword,,
祝由法,Praying method,,
情志相胜法,Restraining emotions method,,
悲胜怒,Sadness prevails over anger,,
怒胜思,Anger prevails over excessive thinking,,
思胜恐,Thinking prevails over fear,,
恐胜喜,Fear prevails over excess joy,,
喜胜悲,Joy prevails over sadness,,
活套法,Flexible methods,,
惊者平之法,Panic calming therapy,,
五行音乐,Five element music therapy,Five phase music therapy,
意疗法,Imagery therapy,,
五志,Five emotions,,
五志过极,Excess of the five emotions,,
惊则气乱,Fright causes the qi to become chaotic,,
恐则气下,Fear causes the qi to descend,,
喜则气缓,Joy causes the qi to slack,,
悲则气消,Sadness consumes the qi,,
怒则气上,Anger causes the qi to rise,,
食疗学,Dietary therapy,,
药膳,Medicated diet,,
食疗,Food therapy,Dietary therapy,食治；食养；食补
