WGM2#,English term,Chinese term,Pinyin term,Synonyms,English definition/description,Chinese synonyms
569.0,Benign colour,善色,shàn sè,null,"An abnormal but lustrous complexion, indicating that essential qi of zang–fu organs remain sufficient and stomach qi can ascend to the face. It is often seen in acute, mild conditions or yang pattern that can be easily treated and have a favourable prognosis.",null
570.0,Malignant colour,恶色,è sè,null,"A grey/dark withered complexion, indicating essential qi failure of zang–fu organs and failure of stomach qi to ascend to the face. It is often seen in chronic, critical conditions or yin pattern that can be difficult to deal with and have an unfavourable prognosis.",null
571.0,Conforming/opposing colours,病色相克,bìng sè xiāng kè,null,A method to predict prognosis by observing colour changes (in relation to the host colour) according to the five-element theory. Opposing colour often indicates a poor prognosis.,null
572.0,Bluish facial complexion,面青,miàn qīng,null,"A bluish or bluish-purple facial complexion often indicates cold, pain, qi stagnation, blood stasis or convulsion.",null
573.0,Red facial complexion,面赤,miàn chì,null,A red facial complexion often indicates heat or hyperactivity of fire due to yin deficiency.,null
574.0,Yellow facial complexion,面黄,miàn huáng,null,A yellow complexion can be sallow or yellow coupled with puffiness. Often indicates internal water retention due to spleen deficiency or insufficiency of qi and blood.,null
575.0,White facial complexion,面白,miàn bái,null,"A white facial complexion often indicates yang qi failing to circulate blood, consumption of qi and blood or cold contracting the blood vessels.",null
576.0,Black facial complexion,面黑,miàn hēi,null,A black facial complexion often indicates kidney yang failing to transform water or chronic blood stasis.,null
577.0,Pale facial complexion,面色苍白,miàn sè cāng bái,null,A pale facial complexion is often mixed with bluish or grey. Often results from severe abdominal pain in an interior cold pattern or insufficiency of qi and blood.,null
578.0,"Bright, pale facial complexion",晄白,huǎng bái,null,"A pale, white facial complexion coupled with puffiness. Often results from water retention due to yang deficiency.",null
579.0,Parched facial complexion,面焦,miàn jiāo,null,"A withered, brown/dark facial complexion. Often results from stomach qi failing to ascend and nourish the face.",null
580.0,Sallow facial complexion,面色萎黄,miàn sè wěi huáng,null,"A pale, yellow and withered facial complexion lacking lustre. Often results from deficiency of qi and blood due to weakness of the spleen and stomach.",null
581.0,"Yellow, puffy face",面黄胖,miàn huáng pàng,null,A yellowish facial complexion coupled with puffiness. Often results from internal dampness due to spleen qi deficiency.,null
582.0,Dark complexion,面色黧黑,miàn sè lí hēi,null,"A dark facial complexion. Often results from kidney yang failing to transform water, internal yin cold, blood failing to nourish the body or stagnation of qi and blood.",null
583.0,Floating yang condition,戴阳证,dài yáng zhèng,null,A pale facial complexion with migratory reddening of the cheeks like wearing blush. It is a critical sign indicating yin rejecting yang due to yang qi failure.,null
584.0,Red cheeks,颧红,quán hóng,Malar flush,Reddening of the cheeks only. Often results from fire hyperactivity due to yin deficiency.,颧赤
585.0,True colours of five zang organs,真脏色,zhēn zàng sè,null,"A withered, lustreless facial complexion. Often results from essential qi exhaustion of the five zang organs.",null
586.0,Bulging fontanels,囟填,xìn tián,null,A noticeable outward curve of the fontanel. Often occurs when pathogenic fire in febrile diseases ascends or when wind heat or damp heat affects the brain.,null
587.0,Sunken fontanels,囟陷,xìn xiàn,null,"A sunken fontanel is characterised by a noticeable inward curve. It is often caused by vomiting, diarrhoea, deficiency of qi and blood, deficiency cold of the spleen and stomach, congenital maldevelopment. It is normal for an infant under 6 months of age to have a sunken fontanel.",null
588.0,Shaking of the head,头摇,tóu yáo,Head shaking,"Uncontrolled, involuntary shaking or tremor of the head. Often results from internal wind or deficiency of qi and blood.",摇头
589.0,Alopecia areata,斑秃,bān tū,Spot baldness,"Sudden hair loss in patches, most often on the scalp. Often results from blood deficiency generating wind or emotional stress.",null
590.0,Seborrheic alopecia,脂秃,zhī tū,null,"A condition that causes scalp itching, greasy hair, dandruff and hair loss. Often results from blood heat transforming into dryness or internal build up of phlegm dampness.",null
591.0,Deviation of the mouth and eyes,口眼喎斜,kǒu yǎn wāi xié,null,"Deviation of the mouth and eyes is characterized by the deviation of the mouth corner towards  the healthy side, facial muscle flaccidity on the affected side and muscle tension on the healthy side, and an inability to completely close the eye and mouth, frown or blow on the affected side. Often results from wind attacking the meridians or wind phlegm obstructing the meridians.",null
592.0,Eyes fixed upward,戴眼反折,dài yǎn fǎn zhé,null,Refers to upward staring with an inability to move the eyes. Often results from internal stirring of liver wind.,null
593.0,Blank staring,瞪目直视,dèng mù zhí shì,null,Staring blankly with open and fixed eyes. Often results from internal stirring of liver wind or essence exhaustion and loss of spirit.,null
594.0,Twitching of the eyes,目瞤,mù shùn,null,Twitching of the eyes often results from external wind heat or failure of qi and blood to nourish meridians.,null
595.0,Protrusion of the eyeballs,睛凸,jīng tū,null,Protrusion of the eyeballs often results from pathogenic fire.,null
596.0,Drooping eyelid,睑废,jiǎn fèi,null,Drooping eyelid is characterized by an inability to open the eyelid and the drooping of the upper eyelid. Often results from congenital deficiency of the spleen and kidney or disharmony between qi and blood after trauma.,null
597.0,Sleep with exposed eyeballs,睡时露睛,shuì shí lù jīng,null,Sleep with exposed eyeballs is more commonly seen in children. Often occurs when clean yang fails to ascend due to spleen deficiency or severe damage to bodily fluids.,昏睡露睛
598.0,Aural polyps,耳痔,ěr zhì,null,An aural polyp is a growth in the outside (external) ear canal. Often occurs when damp heat and phlegm fire ascend to cause qi and blood to stagnate in the ear canal.,null
599.0,Nasal polyps,鼻痔,bí zhì,null,A nasal polyp is a growth within the nose. Often occurs when toxic damp heat accumulates in the nose.,null
600.0,"Red, swollen lips",口唇红肿,kǒu chún hóng zhǒng,Lip wind,The lips appear red and swollen. Often results from fire heat scorching the lips.,唇风
601.0,"Bluish, purple lips",口唇青紫,kǒu chún qīng zǐ,null,"The lips appear bluish purple, pale purple or dark purple, without lustre or moisture. Often results from blood stasis.",null
602.0,Pale lips,口唇淡白,kǒu chún dàn bái,null,The lips appear pale and have little redness. Often results from deficiency cold or blood deficiency.,null
603.0,Chapped lips,口唇焦裂,kǒu chún jiāo liè,Cracked lips,"The lips appear dry, peeling or chapped. In severe cases, the lips may turn red, swollen or bleeding. Often results from heat accumulating in the spleen and stomach, insufficiency of yin fluids or dry heat consuming bodily fluids.",唇裂
604.0,Mouth ulceration,口舌糜烂,kǒu shé mí làn,null,White ulcerations that occur on the mucous membrane of the oral cavity. Often occurs when damp heat and toxic fire in the spleen and stomach scorches the mouth.,null
605.0,Pseudomembrane,伪膜,wěi mó,null,A yellowish or grey/white patch develops on the ulcerative surface of the throat.,null
606.0,Mouth ulcers,口疮,kǒu chuāng,null,A mouth ulcer is often painful. Often results from ascending of accumulated heat in the heart and spleen or fire hyperactivity due to yin deficiency.,null
607.0,Eversion of the lip,唇反,chún fǎn,null,The lips become everted. Often indicates approaching exhaustion of spleen qi.,null
608.0,Dry teeth,齿焦,chǐ jiāo,null,The teeth appear dry and withered. Often results from damage to yin fluids.,null
609.0,Pigeon chest,鸡胸,jī xiōng,null,A malformation of the chest characterized by a protrusion of the sternum and ribs giving the appearance like the chest of a pigeon. Often results from weak bones due to congenital or acquired deficiency of the spleen and kidney.,null
